Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2024-10-15T00:00:00+05:30,1960,1991.45,1951.75,1959.3,5353705,0,1958.9,1991.45,1951.75,39.7,1.1,UP,0.4,,,138.1,,,,
2024-10-14T00:00:00+05:30,1932.15,1969.5,1931.1,1958.9,3751378,0,1935.1,1969.5,1931.1,38.4,-2.95,UP,23.8,,,106.3,,,,
2024-10-11T00:00:00+05:30,1918,1947,1910.1,1935.1,4709431,0,1919,1947,1910.1,36.9,-1,UP,16.1,,,66.85,,,,
2024-10-10T00:00:00+05:30,1957.9,1964,1914.1,1919,4782119,0,1952.75,1964,1914.1,49.9,5.15,DOWN,-33.75,,,41.85,,,,
2024-10-09T00:00:00+05:30,1952.55,1977,1945.1,1952.75,4857163,0,1948.55,1977,1945.1,31.9,4,UP,4.2,,,81.65,,,,
2024-10-08T00:00:00+05:30,1937.9,1957.95,1906.35,1948.55,5637391,0,1934.3,1957.95,1906.35,51.6,3.6,UP,14.25,,,69.65,,,,
2024-10-07T00:00:00+05:30,1923.2,1942,1916.05,1934.3,6112575,0,1918.15,1942,1916.05,25.95,5.05,UP,16.15,,,109.45,,,,
2024-10-04T00:00:00+05:30,1889.55,1954.1,1886,1918.15,10001483,0,1893.4,1954.1,1886,68.1,-3.85,UP,24.75,,,84.2,,,,
2024-10-03T00:00:00+05:30,1889.5,1911.85,1881,1893.4,7503887,0,1904.35,1911.85,1881,30.85,-14.85,DOWN,-10.95,,,56.5,,,,
2024-10-01T00:00:00+05:30,1875,1908.95,1875,1904.35,4029072,0,1875.6,1908.95,1875,33.95,-0.6,UP,28.75,,,93.5,,,,
2024-09-30T00:00:00+05:30,1880,1901.25,1870.5,1875.6,6986955,0,1906.75,1906.75,1870.5,36.25,-26.75,DOWN,-31.15,,,82.65,,,,
2024-09-27T00:00:00+05:30,1932.1,1974.6,1903.3,1906.75,14908931,0,1900.25,1974.6,1900.25,74.35,31.85,UP,6.5,,,148.7,,,,
2024-09-26T00:00:00+05:30,1897.8,1917.95,1893,1900.25,8952803,0,1895.3,1917.95,1893,24.95,2.5,UP,4.95,,,174.2,,,,
2024-09-25T00:00:00+05:30,1886.35,1901.6,1876.8,1895.3,4268341,0,1898.6,1901.6,1876.8,24.8,-12.25,DOWN,-3.3,,,188.25,,,,
2024-09-24T00:00:00+05:30,1888,1910.9,1871.4,1898.6,7277616,0,1896.45,1910.9,1871.4,39.5,-8.45,UP,2.15,,,186.85,,,,
2024-09-23T00:00:00+05:30,1909,1918.9,1878.45,1896.45,3636672,0,1905.75,1918.9,1878.45,40.45,3.25,DOWN,-9.3,,,243.75,,,,
2024-09-20T00:00:00+05:30,1905,1915,1867.4,1905.75,15242974,0,1894.2,1915,1867.4,47.6,10.8,UP,11.55,,,257.5,,,,
2024-09-19T00:00:00+05:30,1910.6,1924.9,1878.8,1894.2,7976570,0,1892.15,1924.9,1878.8,46.1,18.45,UP,2.05,,,237.05,,,,
2024-09-18T00:00:00+05:30,1938.75,1938.75,1881.3,1892.15,6385468,0,1952.55,1952.55,1881.3,71.25,-13.8,DOWN,-60.4,,,230.5,,,,
2024-09-17T00:00:00+05:30,1947.75,1958.45,1942.15,1952.55,2793127,0,1950.25,1958.45,1942.15,16.3,-2.5,UP,2.3,,,305.1,,,,
2024-09-16T00:00:00+05:30,1945.75,1952,1933.05,1950.25,1570181,0,1944.1,1952,1933.05,18.95,1.65,UP,6.15,,,1950.25,,,,
2024-09-13T00:00:00+05:30,1950.45,1958.6,1935.65,1944.1,3843127,0,1950.45,1958.6,1935.65,22.95,0,DOWN,-6.35,,,1944.1,,,,
2024-09-12T00:00:00+05:30,1925,1956.4,1910.8,1950.45,8555092,0,1910.15,1956.4,1910.15,46.25,14.85,UP,40.3,,,1950.45,,,,
2024-09-11T00:00:00+05:30,1914.7,1926,1905,1910.15,5312946,0,1912.3,1926,1905,21,2.4,DOWN,-2.15,,,1910.15,,,,
2024-09-10T00:00:00+05:30,1904.9,1935,1896,1912.3,6909600,0,1894.65,1935,1894.65,40.35,10.25,UP,17.65,,,1912.3,,,,
2024-09-09T00:00:00+05:30,1890,1920.85,1889,1894.65,4772612,0,1901.85,1920.85,1889,31.85,-11.85,DOWN,-7.2,,,1894.65,,,,
2024-09-06T00:00:00+05:30,1922,1936.5,1896.85,1901.85,5848106,0,1933.15,1936.5,1896.85,39.65,-11.15,DOWN,-31.3,,,1901.85,,,,
2024-09-05T00:00:00+05:30,1926.25,1940,1909.6,1933.15,4081810,0,1922.45,1940,1909.6,30.4,3.8,UP,10.7,,,1933.15,,,,
